"symbol-id","category-id","grammar","rated","tags","symbol-en","category-en","category-vi","symbol-vi"
"1","1","Letter","0","alphabet letter","A","Alphabet","Bảng chữ cái","A"
"2","1","Noun","0","alphabet letter","a_-_lower_case","Alphabet","Bảng chữ cái","a - viết thường"
"3","40","Noun","0","direction position","above","Descriptive Position","Vị trí","ở trên"
"4","43","Noun","0","","absent","Descriptive State","Trạng thái","vắng mặt"
"5","77","Noun","0","","acne_spots","Healthcare Medical conditions","Tình trạng y tế","nốt mụn"
"6","94","Noun","0","gardening plant","acorn","Plants and Trees","Cây cối và thực vật","quả sồi"
"7","39","Noun","0","abstract direction position","across","Descriptive Direction","Hướng","băng qua"
"8","83","Noun","0","play toys","activity_centre","Leisure Toys","Đồ chơi giải trí","trung tâm hoạt động"
"9","88","Noun","0","","add","Number Activity","Hoạt động toán học","thêm"
"10","97","Noun","0","celebration Christian","Advent","Religion Festival","Lễ hội tôn giáo","Mùa Vọng"
"11","98","Noun","0","celebration Christian","Advent_calendar","Religion General","Tôn giáo chung","Lịch Mùa Vọng"
"12","53","Noun","0","","aerial_indoor","Electrical TV","Ti vi","ăng-ten trong nhà"
"13","103","Noun","0","sport","aerobics_dance","Sport","Thể thao","nhảy aerobic"
"14","108","Noun","0","transport travel","aeroplane","Transport Air","Hàng không","máy bay"
"15","91","Noun","0","emotion expression face feeling people","afraid_lady","People Feelings","Cảm xúc","người phụ nữ sợ hãi"
"16","91","Noun","0","emotion expression face feeling people","afraid_man","People Feelings","Cảm xúc","người đàn ông sợ hãi"
"17","40","Noun","0","direction position","after","Descriptive Position","Vị trí","sau khi"
"18","44","Noun","0","calendar diary time","afternoon","Descriptive Time","Thời gian","buổi chiều"
"19","76","Noun","0","grooming","aftershave","Healthcare Grooming items","Đồ vệ sinh cá nhân","nước dưỡng sau cạo râu"
"20","76","Noun","0","grooming","aftershave_1","Healthcare Grooming items","Đồ vệ sinh cá nhân","nước dưỡng sau cạo râu 1"
"21","40","Noun","0","abstract position","against","Descriptive Position","Vị trí","tựa vào / chống lại"
"22","40","Noun","0","abstract adverb direction position","ahead","Descriptive Position","Vị trí","phía trước"
"23","92","Noun","0","job people profession work","air_person_1a","People Profession","Nghề nghiệp","nhân viên hàng không 1a"
"24","92","Noun","0","job people profession work","air_person_1b","People Profession","Nghề nghiệp","nhân viên hàng không 1b"
"25","92","Noun","0","job people profession work","air_person_2a","People Profession","Nghề nghiệp","nhân viên hàng không 2a"
"26","92","Noun","0","job people profession work","air_person_2b","People Profession","Nghề nghiệp","nhân viên hàng không 2b"
"27","92","Noun","0","job people profession work","air_steward_1a","People Profession","Nghề nghiệp","tiếp viên hàng không 1a"
"28","92","Noun","0","job people profession work","air_steward_1b","People Profession","Nghề nghiệp","tiếp viên hàng không 1b"
"29","92","Noun","0","job people profession work","air_steward_2a","People Profession","Nghề nghiệp","tiếp viên hàng không 2a"
"30","92","Noun","0","job people profession work","air_steward_2b","People Profession","Nghề nghiệp","tiếp viên hàng không 2b"
"31","74","Noun","0","body","airways","Healthcare Body parts","Bộ phận cơ thể","đường hàng không"
"32","88","Noun","0","","algebra_class","Number Activity","Hoạt động toán học","lớp học đại số"
"33","88","Noun","0","","algebra_formula","Number Activity","Hoạt động toán học","công thức đại số"
"34","68","Noun","0","","almond","Food Nuts","Các loại hạt","hạnh nhân"
"35","110","Noun","0","transport travel vehicle","ambulance","Transport Road","Đường bộ","xe cứu thương"
"36","99","Noun","0","celebration Christian","angel","Religion Person","Nhân vật tôn giáo","thiên thần"
"37","91","Noun","0","emotion expression face feeling people woman","angry_lady","People Feelings","Cảm xúc","người phụ nữ tức giận"
"38","91","Noun","0","emotion expression face feeling people","angry_man","People Feelings","Cảm xúc","người đàn ông tức giận"
"39","74","Noun","0","body","ankle","Healthcare Body parts","Bộ phận cơ thể","cổ chân"
"40","88","Noun","0","","answer","Number Activity","Hoạt động toán học","trả lời"
"41","13","Noun","0","insect","ant","Animal Spiders and Insects","Nhện và côn trùng","kiến"
"42","10","Noun","0","animal mammal wild zoo","ant_eater","Animal Mammal","Động vật có vú","thú ăn kiến"
"43","10","Noun","0","animal mammal wild zoo","antelope","Animal Mammal","Động vật có vú","linh dương"
"44","62","Noun","0","","apple","Food Fruit","Trái cây","quả táo"
"45","48","Noun","0","drink juice","apple_juice","Drink Type","Loại đồ uống","nước táo"
"46","62","Noun","0","food fruit","apricot","Food Fruit","Trái cây","quả mơ"
"47","107","Noun","0","DIY tools workshop","apron","Tools Workshop","Dụng cụ xưởng","tạp dề"
"48","9","Noun","0","animal","aquarium","Animal Habitat","Môi trường sống","bể cá cảnh"
"49","115","Noun","0","class office school stationery","arch_lever_file","Work and School Stationery","Văn phòng phẩm","bìa còng bật"
"50","103","Noun","0","games sport","archery","Sport","Thể thao","bắn cung"
"51","104","Noun","0","games sport","archery_target","Sport Accessories","Phụ kiện thể thao","bia bắn cung"
"52","74","Noun","0","body","arm","Healthcare Body parts","Bộ phận cơ thể","cánh tay"
"53","18","Noun","0","","arm_chair","Building Furniture","Nội thất","ghế bành"
"54","74","Noun","0","body","arms","Healthcare Body parts","Bộ phận cơ thể","hai cánh tay"
"55","80","Verb","0","","armwrestle_,_to","Leisure Games","Trò chơi giải trí","vật tay"
"56","84","Noun","0","transport travel vehicle","army_tank","Military","Quân sự","xe tăng"
"57","39","Noun","0","direction position","around","Descriptive Direction","Hướng","xung quanh"
"58","36","Noun","0","","arrow_keys","Computer Icon","Biểu tượng máy tính","phím mũi tên"
"59","15","Noun","0","class school","art","Art Making","Tạo hình nghệ thuật","mỹ thuật"
"60","117","Noun","0","class school","art_class","Work and School Timetable","Thời khóa biểu","lớp học mỹ thuật"
"61","24","Noun","0","class school","art_room","Building School","Trường học","phòng mỹ thuật"
"62","73","Noun","0","","artichoke","Food Vegetables and salads","Rau củ và salad","atisô"
"63","15","Noun","0","","artist_palette","Art Making","Tạo hình nghệ thuật","bảng pha màu"
"64","97","Noun","0","celebration Christian","Ash_Wednesday","Religion Festival","Lễ hội tôn giáo","Thứ Tư Lễ Tro"
"65","73","Noun","0","food vegetable","asparagus","Food Vegetables and salads","Rau củ và salad","măng tây"
"66","117","Noun","0","class school","assembly","Work and School Timetable","Thời khóa biểu","buổi chào cờ / tập trung"
"67","36","Noun","0","","at_key","Computer Icon","Biểu tượng máy tính","phím @"
"68","100","Noun","0","","atom","Science","Khoa học","nguyên tử"
"69","73","Noun","0","","aubergine","Food Vegetables and salads","Rau củ và salad","cà tím"
"70","93","Noun","0","family relationship relatives","aunt_maternal","People Relationship","Quan hệ gia đình và xã hội","dì / mợ / cô (bên ngoại)"
"71","93","Noun","0","family relationship relatives","aunt_paternal","People Relationship","Quan hệ gia đình và xã hội","cô / o / bác (bên nội)"
"72","78","Noun","0","clinic health hospital medical","auroscope","Healthcare Medical items","Đồ dùng y tế","dụng cụ soi tai"
"73","44","Noun","0","calendar diary season time","autumn","Descriptive Time","Thời gian","mùa thu"
"74","73","Noun","0","food vegetable","avocado","Food Vegetables and salads","Rau củ và salad","quả bơ"
"75","43","Noun","0","","awake","Descriptive State","Trạng thái","thức giấc"
"76","39","Noun","0","direction position","away","Descriptive Direction","Hướng","đi xa / ra ngoài"
"77","1","Noun","0","alphabet letter","B","Alphabet","Bảng chữ cái","B"
"78","1","Noun","0","alphabet letter","b_-_lower_case","Alphabet","Bảng chữ cái","b - viết thường"
"79","90","Noun","0","grooming","baby","People Descriptive","Mô tả con người","em bé"
"80","76","Noun","0","","baby_oil","Healthcare Grooming items","Đồ vệ sinh cá nhân","dầu mát-xa cho bé"
"81","76","Noun","0","grooming","baby_powder","Healthcare Grooming items","Đồ vệ sinh cá nhân","phấn rôm"
"82","74","Noun","0","body","back","Healthcare Body parts","Bộ phận cơ thể","phía sau"
"83","74","Noun","0","body","back_1","Healthcare Body parts","Bộ phận cơ thể","phía sau 1"
"84","77","Noun","0","clinic health hospital medical","back_ache","Healthcare Medical conditions","Tình trạng y tế","đau lưng"
"85","19","Noun","0","animal gardening","back_garden","Building Garden and farm","Vườn và nông trại","vườn sau nhà"
"86","104","Noun","0","","backstop","Sport Accessories","Phụ kiện thể thao","rào chắn bóng"
"87","39","Noun","0","direction position","backwards","Descriptive Direction","Hướng","lùi lại"
"88","67","Noun","0","food meat pork","bacon","Food Meat","Thịt","thịt xông khói"
"89","43","Noun","0","","bad","Descriptive State","Trạng thái","tệ / xấu"
"90","10","Noun","0","animal wild","badger","Animal Mammal","Động vật có vú","con lửng"
"91","10","Noun","0","animal wild","badger_2","Animal Mammal","Động vật có vú","con lửng 2"
"92","103","Noun","0","games sport","badminton","Sport","Thể thao","cầu lông"
"93","104","Noun","0","games sport","badminton_racket","Sport Accessories","Phụ kiện thể thao","vợt cầu lông"
"94","55","Noun","0","","bagel","Food Breads and baking","Bánh mì và bánh nướng","bánh mì vòng"
"95","55","Noun","0","","bagel_2","Food Breads and baking","Bánh mì và bánh nướng","bánh mì vòng 2"
"96","64","Verb","0","cooking","bake_,_to","Food Kitchen actions","Hành động trong bếp","nướng"
"97","73","Noun","0","","baked_beans","Food Vegetables and salads","Rau củ và salad","đậu hầm"
"98","73","Noun","0","","baked_beans_2","Food Vegetables and salads","Rau củ và salad","đậu hầm 2"
"99","92","Noun","0","job people profession work","baker_1a","People Profession","Nghề nghiệp","thợ làm bánh 1a"
"100","92","Noun","0","job people profession work","baker_1b","People Profession","Nghề nghiệp","thợ làm bánh 1b"
"101","92","Noun","0","job people profession work","baker_2a","People Profession","Nghề nghiệp","thợ làm bánh 2a"
"102","92","Noun","0","job people profession work","baker_2b","People Profession","Nghề nghiệp","thợ làm bánh 2b"
"103","55","Noun","0","","baking_powder","Food Breads and baking","Bánh mì và bánh nướng","bột nở"
"104","65","Noun","0","cooking kitchen","baking_tray","Food Kitchen items","Đồ dùng nhà bếp","khay nướng"
"105","83","Noun","0","play toys","ball","Leisure Toys","Đồ chơi giải trí","quả bóng"
"106","83","Noun","0","","ball_beach","Leisure Toys","Đồ chơi giải trí","bóng bãi biển"
"107","83","Noun","0","","ball_pool","Leisure Toys","Đồ chơi giải trí","nhà bóng"
"108","28","Noun","0","celebration","balloon","Celebration Item","Đồ vật lễ kỷ niệm","bong bóng"
"109","62","Noun","0","food fruit","banana","Food Fruit","Trái cây","quả chuối"
"110","62","Noun","0","","banana_bunch","Food Fruit","Trái cây","nải chuối"
"111","85","Noun","0","finance money","bank","Money","Tiền tệ","ngân hàng"
"112","85","Noun","0","finance money","bank_card","Money","Tiền tệ","thẻ ngân hàng"
"113","66","Noun","0","","banquet_buffet","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","tiệc buffet"
"114","55","Noun","0","","bap","Food Breads and baking","Bánh mì và bánh nướng","bánh mì tròn nhỏ"
"115","19","Noun","0","home house","barbeque","Building Garden and farm","Vườn và nông trại","tiệc nướng BBQ"
"116","64","Verb","0","cooking","barbeque_,_to","Food Kitchen actions","Hành động trong bếp","nướng BBQ"
"117","102","Noun","0","","base_rock","Science Eco","Sinh thái học","đá nền"
"118","104","Noun","0","","baseball_base","Sport Accessories","Phụ kiện thể thao","gôn bóng chày"
"119","104","Noun","0","","baseball_bat","Sport Accessories","Phụ kiện thể thao","gậy bóng chày"
